n,GHE Load,ghe_Tin/HP_Tout,ghe_Tout/HP_Tin,bldgload
485,-7.383,5.90417,6.7831,1000
486,-7.38299,5.9035,6.78242,1000
487,-7.38297,5.90283,6.78175,1000
488,-7.38295,5.90216,6.78108,1000
489,-7.38293,5.90149,6.78041,1000
490,-7.38292,5.90083,6.77975,1000
491,-7.3829,5.90017,6.77908,1000
492,-7.38288,5.8995,6.77842,1000
493,-7.38286,5.89884,6.77775,1000
494,-7.38284,5.89818,6.77709,1000
495,-7.38283,5.89753,6.77643,1000
496,-7.38281,5.89687,6.77577,1000
497,-7.38279,5.89621,6.77512,1000
498,-7.38277,5.89556,6.77446,1000
499,-7.38275,5.89491,6.7738,1000
500,-7.38274,5.89425,6.77315,1000
501,-7.38272,5.8936,6.7725,1000
502,-7.3827,5.89295,6.77185,1000
503,-7.38268,5.89231,6.7712,1000
504,-7.38266,5.89166,6.77055,1000
505,-7.38265,5.89101,6.7699,1000
506,-7.38263,5.89037,6.76925,1000
507,-7.38261,5.88973,6.76861,1000
508,-7.38259,5.88909,6.76797,1000
509,-7.38257,5.88845,6.76732,1000
510,-7.38255,5.88781,6.76668,1000
511,-7.38254,5.88717,6.76604,1000
512,-7.38252,5.88653,6.7654,1000
513,-7.3825,5.8859,6.76476,1000
514,-7.38248,5.88526,6.76413,1000
515,-7.38246,5.88463,6.76349,1000
516,-7.38245,5.884,6.76286,1000
517,-7.38243,5.88336,6.76223,1000
518,-7.38241,5.88274,6.76159,1000
519,-7.38239,5.88211,6.76096,1000
520,-7.38238,5.88148,6.76033,1000
521,-7.38236,5.88085,6.75971,1000
522,-7.38234,5.88023,6.75908,1000
523,-7.38232,5.8796,6.75845,1000
524,-7.3823,5.87898,6.75783,1000
525,-7.38229,5.87836,6.7572,1000
526,-7.38227,5.87774,6.75658,1000
527,-7.38225,5.87712,6.75596,1000
528,-7.38222,5.8765,6.75534,1000
529,-7.3822,5.87588,6.75472,1000
530,-7.38218,5.87527,6.7541,1000
531,-7.38216,5.87465,6.75348,1000
532,-7.38214,5.87403,6.75286,1000
533,-7.38213,5.87342,6.75224,1000
534,-7.38211,5.87281,6.75163,1000
535,-7.3821,5.87219,6.75102,1000
536,-7.38208,5.87158,6.7504,1000
537,-7.38206,5.87098,6.74979,1000
538,-7.38205,5.87037,6.74918,1000
539,-7.38203,5.86976,6.74857,1000
540,-7.38201,5.86916,6.74797,1000
541,-7.38199,5.86855,6.74736,1000
542,-7.38198,5.86795,6.74675,1000
543,-7.38196,5.86735,6.74615,1000
544,-7.38194,5.86674,6.74555,1000
545,-7.38193,5.86614,6.74494,1000
546,-7.38191,5.86555,6.74434,1000
547,-7.38189,5.86495,6.74374,1000
548,-7.38187,5.86435,6.74314,1000
549,-7.38186,5.86375,6.74255,1000
550,-7.38184,5.86316,6.74195,1000
551,-7.38182,5.86257,6.74135,1000
552,-7.3818,5.86197,6.74076,1000
553,-7.38179,5.86138,6.74017,1000
554,-7.38177,5.86079,6.73957,1000
555,-7.38175,5.8602,6.73898,1000
556,-7.38173,5.85961,6.73839,1000
557,-7.38172,5.85903,6.7378,1000
558,-7.3817,5.85844,6.73721,1000
559,-7.38168,5.85786,6.73663,1000
560,-7.38167,5.85727,6.73604,1000
561,-7.38165,5.85669,6.73546,1000
562,-7.38163,5.85611,6.73487,1000
563,-7.38161,5.85553,6.73429,1000
564,-7.3816,5.85495,6.73371,1000
565,-7.38158,5.85437,6.73313,1000
566,-7.38156,5.85379,6.73255,1000
567,-7.38155,5.85321,6.73197,1000
568,-7.38153,5.85264,6.73139,1000
569,-7.38151,5.85206,6.73081,1000
570,-7.3815,5.85149,6.73024,1000
571,-7.38148,5.85091,6.72966,1000
572,-7.38146,5.85034,6.72909,1000
573,-7.38144,5.84977,6.72851,1000
574,-7.38143,5.8492,6.72794,1000
575,-7.38141,5.84863,6.72737,1000
576,-7.38139,5.84806,6.7268,1000
577,-7.38138,5.8475,6.72623,1000
578,-7.38136,5.84693,6.72566,1000
579,-7.38134,5.84637,6.7251,1000
580,-7.38133,5.8458,6.72453,1000
581,-7.38131,5.84524,6.72397,1000
582,-7.38129,5.84468,6.7234,1000
583,-7.38128,5.84411,6.72284,1000
584,-7.38126,5.84355,6.72228,1000
585,-7.38124,5.843,6.72171,1000
586,-7.38122,5.84244,6.72115,1000
587,-7.38121,5.84188,6.72059,1000
588,-7.38119,5.84132,6.72004,1000
589,-7.38117,5.84077,6.71948,1000
590,-7.38116,5.84021,6.71892,1000
591,-7.38114,5.83966,6.71837,1000
592,-7.38113,5.83911,6.71781,1000
593,-7.38112,5.83856,6.71726,1000
594,-7.3811,5.83801,6.71671,1000
595,-7.38109,5.83746,6.71616,1000
596,-7.38107,5.83691,6.71561,1000
597,-7.38105,5.83636,6.71506,1000
598,-7.38103,5.83582,6.71451,1000
599,-7.38101,5.83527,6.71396,1000
600,-7.381,5.83473,6.71342,1000
601,-7.38098,5.83418,6.71287,1000
602,-7.38096,5.83364,6.71233,1000
603,-7.38095,5.8331,6.71178,1000
604,-7.38093,5.83256,6.71124,1000
605,-7.38091,5.83202,6.7107,1000
606,-7.3809,5.83148,6.71015,1000
607,-7.38088,5.83094,6.70961,1000
608,-7.38087,5.8304,6.70907,1000
609,-7.38085,5.82986,6.70854,1000
610,-7.38083,5.82933,6.708,1000
611,-7.38082,5.82879,6.70746,1000
612,-7.3808,5.82826,6.70692,1000
613,-7.38078,5.82772,6.70639,1000
614,-7.38077,5.82719,6.70586,1000
615,-7.38075,5.82666,6.70532,1000
616,-7.38073,5.82613,6.70479,1000
617,-7.38072,5.8256,6.70426,1000
618,-7.3807,5.82507,6.70373,1000
619,-7.38069,5.82454,6.7032,1000
620,-7.38067,5.82402,6.70267,1000
621,-7.38065,5.82349,6.70214,1000
622,-7.38064,5.82296,6.70161,1000
623,-7.38062,5.82244,6.70108,1000
624,-7.3806,5.82191,6.70056,1000
625,-7.38059,5.82139,6.70003,1000
626,-7.38057,5.82087,6.69951,1000
627,-7.38056,5.82035,6.69899,1000
628,-7.38054,5.81983,6.69846,1000
629,-7.38052,5.81931,6.69794,1000
630,-7.38051,5.81879,6.69742,1000
631,-7.38049,5.81827,6.6969,1000
632,-7.38047,5.81775,6.69638,1000
633,-7.38046,5.81724,6.69586,1000
634,-7.38044,5.81672,6.69534,1000
635,-7.38043,5.81621,6.69483,1000
636,-7.38041,5.81569,6.69431,1000
637,-7.38039,5.81518,6.6938,1000
638,-7.38038,5.81467,6.69328,1000
639,-7.38036,5.81415,6.69277,1000
640,-7.38035,5.81364,6.69226,1000
641,-7.38033,5.81313,6.69174,1000
642,-7.38031,5.81262,6.69123,1000
643,-7.3803,5.81211,6.69072,1000
644,-7.38028,5.81161,6.69021,1000
645,-7.38027,5.8111,6.6897,1000
646,-7.38025,5.81059,6.68919,1000
647,-7.38023,5.81009,6.68869,1000
648,-7.38022,5.80958,6.68818,1000
649,-7.3802,5.80908,6.68768,1000
650,-7.38019,5.80858,6.68717,1000
651,-7.38017,5.80807,6.68667,1000
652,-7.38016,5.80757,6.68616,1000
653,-7.38014,5.80707,6.68566,1000
654,-7.38012,5.80657,6.68516,1000
